id,campaign,block,kind,engine,version,profile,host,publishers,consumers,cpus,seconds,count,payload,compression,trace,recovery,delta_ms,age,kill,seed,pilot,status,error,stage,attempt_records,confirmed_records,unknown_records,throughput_mps,p50_ms,p99_ms,sample_count,mean_ms,max_ms,p99_rank,positions_above_p99,measured_seconds,driver_sample_seconds,driver_mean_cores,driver_quota_percent,driver_throttled_usec,driver_throttled_periods,driver_host_busy_fraction,driver_host_iowait_fraction,broker_sample_seconds,broker_mean_cores,broker_quota_percent,broker_throttled_usec,broker_throttled_periods,broker_host_busy_fraction,broker_host_iowait_fraction,seconds_until_workers_joined,retained_count_at_reconciliation,reset_verified,occupancy,censored,actual_age_ms,observation_seconds,receipt_excess_ms,reference_to_redelivery_ms,redelivery_before_reference,after_nominal_deadline,sync_complete_calls,sync_by_call,sync_errors,sync_mean_ms,sync_p50_ms,sync_p99_ms,sync_max_ms,sync_sum_call_seconds,sync_broker_bracket_seconds,sync_boundary_overlap_calls,sync_calls_per_confirmed_message
F0024,main02,0,publication,redis,8.10.2,always,redis-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092426,False,complete,,complete,76566.0,76566.0,0.0,5103.496067415607,3.073759,5.275888,76566.0,3.131517730454804,11.359181,75801.0,765.0,15.002656804,15.003374623,0.2733353064258816,13.666765321294081,0.0,0.0,0.24888003982080636,0.002654720424755268,15.005350499,0.21021774867639498,10.510887433819748,0.0,0.0,0.06803916645744414,0.04966942840405055,,,,,,,,,,,,,,,,,,,,,,
F0025,main02,1,publication,redis,8.10.2,periodic,redis-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092427,False,complete,,complete,910917.0,910917.0,0.0,60727.09677212243,0.243541,0.56963,910917.0,0.26215339062065374,35.18177,901808.0,9109.0,15.000173702,15.000579454,1.0086782344908207,50.43391172454103,0.0,0.0,0.5692541856925418,0.0025367833587011668,15.001713079,0.6162548871129493,30.812744355647464,0.0,0.0,0.13752250177921044,0.061246703227697076,,,,,,,,,,,,,,,,,,,,,,
F0026,main02,1,publication,nats,2.10.24,memory,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092428,False,complete,,complete,68578.0,68578.0,0.0,4571.81742118292,0.213104,0.311541,68578.0,0.215494711729708,6.295985,67893.0,685.0,15.000161573,15.000760356,0.4836031526294186,24.18015763147093,0.0,0.0,0.27877415984676995,0.003134250391781299,15.002457122,0.18461709155218475,9.230854577609238,0.0,0.0,0.06988548177356432,0.0008389613658291036,,,,,,,,,,,,,,,,,,,,,,
F0027,main02,1,publication,redis,7.4.2,memory,redis-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092429,False,complete,,complete,88585.0,88585.0,0.0,5905.620774875041,0.165465,0.260097,88585.0,0.1666680125416255,7.935587,87700.0,885.0,15.000116563,15.000959016,0.3498943630471686,17.49471815235843,0.0,0.0,0.3058319039451115,0.003602058319039451,15.002854519,0.0798505376748698,3.9925268837434897,0.0,0.0,0.07886712059818705,0.00852165921717699,,,,,,,,,,,,,,,,,,,,,,
F0028,main02,1,publication,nats,2.15.0,periodic,nats-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092430,False,complete,,complete,755619.0,755619.0,0.0,50370.41095148928,0.284532,0.77646,755619.0,0.3160830003109961,18.58427,748063.0,7556.0,15.001247473,15.001791902,1.1045022560132296,55.22511280066148,0.0,0.0,0.5770519262981575,0.0023450586264656616,15.003215169,1.2455441576690753,62.27720788345377,0.0,0.0,0.18822892369210265,0.0030406531156281238,,,,,,,,,,,,,,,,,,,,,,
F0029,main02,1,publication,nats,2.15.0,memory,nats-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092431,False,complete,,complete,876947.0,876947.0,0.0,58462.225687792125,0.243622,0.697632,876947.0,0.27219439938559203,15.753364,868178.0,8769.0,15.00023288,15.000797281,1.1422845518820128,57.11422759410064,0.0,0.0,0.6396261058254048,0.0025037556334501754,15.001934656,1.1475502590004083,57.37751295002042,0.0,0.0,0.18770024549577663,0.003911288644780094,,,,,,,,,,,,,,,,,,,,,,
F0030,main02,1,publication,redis,8.10.2,always,redis-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092432,False,complete,,complete,30549.0,30549.0,0.0,2036.261166956323,3.145168,41.901131,30549.0,7.853339282529748,914.493039,30244.0,305.0,15.002495994,15.003055918,0.12092109833593437,6.046054916796718,0.0,0.0,0.15293132328308207,0.002847571189279732,15.004539263,0.09168232198853622,4.5841160994268115,0.0,0.0,0.058093367325615416,0.053872194591883645,,,,,,,,,,,,,,,,,,,,,,
F0031,main02,1,publication,redis,7.4.2,memory,redis-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092433,False,complete,,complete,1099003.0,1099003.0,0.0,73265.79280505714,0.204832,0.472648,1099003.0,0.21712652124334078,8.487514,1088013.0,10990.0,15.000219856,15.000694238,1.1221463975552837,56.10731987776418,0.0,0.0,0.6215219577606437,0.0026818638954073082,15.001755722,0.5325444666642599,26.627223333212996,0.0,0.0,0.12561658724186942,0.0006688403979600368,,,,,,,,,,,,,,,,,,,,,,
F0032,main02,1,publication,redis,7.4.2,periodic,redis-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092434,False,complete,,complete,927302.0,927302.0,0.0,61819.246214786304,0.246145,0.540866,927302.0,0.2575435551751167,8.598605,918029.0,9273.0,15.000215253,15.000733954,1.0213432920670278,51.06716460335139,0.0,0.0,0.5755676042019654,0.0028803795323619113,15.001760102,0.6289284014575158,31.446420072875792,0.0,0.0,0.13838109182179462,0.002384438402007948,,,,,,,,,,,,,,,,,,,,,,
F0033,main02,1,publication,nats,2.10.24,memory,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092435,False,complete,,complete,928256.0,928256.0,0.0,61883.000952142596,0.236311,0.669293,928256.0,0.2571514485659123,14.434825,918974.0,9282.0,15.000177524,15.000716512,1.1776860782528467,58.88430391264233,0.0,0.0,0.6003677085074377,0.0031756643824168477,15.001870193,1.1761217616876096,58.806088084380484,0.0,0.0,0.1886470514794623,0.005576594947771443,,,,,,,,,,,,,,,,,,,,,,
F0034,main02,1,publication,nats,2.10.24,always,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092436,False,complete,,complete,3535.0,3535.0,0.0,235.33577288165168,22.884393,288.898564,3535.0,67.9735076124471,1749.163929,3500.0,35.0,15.021090745,15.021753777,0.021583631632707462,1.0791815816353731,0.0,0.0,0.093371467025572,0.004374158815612382,15.023617479,0.06833959939642577,3.4169799698212886,0.0,0.0,0.055358261959473576,0.05615207854606225,,,,,,,,,,,,,,,,,,,,,,
F0035,main02,1,publication,nats,2.15.0,memory,nats-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092437,False,complete,,complete,69257.0,69257.0,0.0,4617.098284324644,0.213721,0.315876,69257.0,0.2134552931978004,6.108114,68565.0,692.0,15.000113867,15.000807173,0.4701764990816471,23.508824954082357,0.0,0.0,0.29220327184128086,0.0029585798816568047,15.002691372,0.194304470292612,9.7152235146306,0.0,0.0,0.0641579013535599,0.0008800234672924611,,,,,,,,,,,,,,,,,,,,,,
